Name:Suffix,location,measurement,AirHandlerUnit
W04T095BA:CTL TEMP,095 Exhibit Prep,Temp F,6&7
7704.4095B.RMH,095 Exhibit Prep,RH %,6&7
W04T171A:CTL TEMP,171 Reserves Shelving,Temp F,6&7
7704.4171.RMH,171 Reserves Shelving,RH %,6&7
7704.R4099.RMT,099 Lower Level Stacks,Temp F,17
7704.AHU17.RAH,099 Lower Level Stacks,RH %,17
7704.R4299.RMT,299 Second Floor Stacks,Temp F,9
7704.R4399.RMT,399 Third Floor Stacks,Temp F,9
7704.AHU09.RAH,2d and 3d Floor,RH %,9
7704.RHC05.RMT,2-021A Conservation DPC Vault,Temp F,11
7705.2021A.RMH,2-021A Conservation DPC Vault,RH %,11
W04T2023BC:ROOM TEMP,Conservation Lab Benches,Temp F,12
W04T2023CC:ROOM TEMP,Conservation Lab Wet Area,Temp F,12
W04T2013C:ROOM TEMP,DPC Staff Area,Temp F,12
W04T2017AC:ROOM TEMP,DPC Camera Room,Temp F,12
W04T2017BC:ROOM TEMP,DPC Zeutschel Scanner,Temp F,12
7704.AHU12.RMH,Conservation Lab,RH %,12
7704.R4140A.RTE,140A Biddle Exhibit Entrance,Temp F,16
7704.R4140A.RHE,140A Biddle Exhibit Entrance,RH %,16
7704.R4140A.RTF,140A Biddle Exhibit Fireplace,Temp F,16
7704.R4140A.RHF,140A Biddle Exhibit Fireplace,RH %,16
7704.R4140B.RT,140B Stone Exhibit,Temp F,16
7704.R4140B.RH,140B Stone Exhibit,RH %,16
7704.R4140C.RT,140C Trent Exhibit,Temp F,16
7704.R4140C.RH,140C Trent Exhibit,RH %,16
E61T11103A:ROOM TEMP,RLTS Smith Rm 103,Temp F,NA
E61T11104A:ROOM TEMP,RLTS Smith Rm 104,Temp F,NA
E61T11111A:ROOM TEMP,RLTS Smith Workroom,Temp F,NA
E61T11117A:ROOM TEMP,RLTS Smith Rm 131,Temp F,NA
E61Q13A,RLTS Smith,RH %,NA
W04T1037D1A:ROOM TEMP,W04T1037D1A,Temp F,NA
W04T1227A1A:ROOM TEMP,W04T1227A1A,Temp F,NA
W04T1332B1A:ROOM TEMP,W04T1332B1A,Temp F,NA
W04T1422C1A:ROOM TEMP,W04T1422C1A,Temp F,NA
W04T21012B2C:ROOM TEMP,W04T21012B2C,Temp F,NA
W04T2101A2C:ROOM TEMP,W04T2101A2C,Temp F,NA
W04T2101A3C:ROOM TEMP,W04T2101A3C,Temp F,NA
W04T2101C3C:ROOM TEMP,W04T2101C3C,Temp F,NA
W04T2225BL:ROOM TEMP,W04T2225BL,Temp F,NA
W04T2233HL:ROOM TEMP,W04T2233HL,Temp F,NA
W04T2238BL:ROOM TEMP,W04T2238BL,Temp F,NA
W04T2310BL:ROOM TEMP,W04T2310BL,Temp F,NA
W04T2310HL:ROOM TEMP,W04T2310HL,Temp F,NA
W04T2311BL:ROOM TEMP,W04T2311BL,Temp F,NA
W04T2315AL:ROOM TEMP,W04T2315AL,Temp F,NA
W04T2409BL:ROOM TEMP,W04T2409BL,Temp F,NA
W04T2409JL:ROOM TEMP,W04T2409JL,Temp F,NA
W04T2415BL:ROOM TEMP,W04T2415BL,Temp F,NA
W04T2420L:ROOM TEMP,W04T2420L,Temp F,NA
W04T2B14A1A:ROOM TEMP,W04T2B14A1A,Temp F,NA
W04T2B14A2A:ROOM TEMP,W04T2B14A2A,Temp F,NA
W04T2B14A6C:ROOM TEMP,W04T2B14A6C,Temp F,NA
W04T2B14C3A:ROOM TEMP,W04T2B14C3A,Temp F,NA
W04Q2310,W04Q2310,RH %,NA
W04Q2311,W04Q2311,RH %,NA
W04Q2315,W04Q2315,RH %,NA
W04Q2318,W04Q2318,RH %,NA
M70C01,LSC Module 1 Return,Temp F,NA
M70QC01,LSC Module 1 Return,RH %,NA
M70C02,LSC Module 2 Return,Temp F,NA
M70QC02,LSC Module 2 Return,RH %,NA
7970.AHU03.SPACE.RET.TEMP,LSC Module 3 Return,Temp F,NA
7970.AHU03.SPACE.RET.HUM,LSC Module 3 Return,RH %,NA
OATCHP,LSC Outdoor,Temp F,NA
W96OAH,LSC Outdoor,RH %,NA
