095 Exhibit Prep,Conservation
099 Lower Level Stacks,RL Research Svcs
140A Biddle Exhibit Entrance,Exhibits Areas
140A Biddle Exhibit Fireplace,Exhibits Areas
140B Stone Exhibit,Exhibits Areas
140C Trent Exhibit,Exhibits Areas
171 Reserves Shelving,RL Research Svcs
2-021A Conservation DPC Vault,Conservation
299 Second Floor Stacks,RL Research Svcs
2d and 3d Floor,RL Research Svcs
2d Floor Sensor Test,RL Research Svcs
2d Floor Test,RL Research Svcs
399 Third Floor Stacks,RL Research Svcs
Audubon,Exhibits Areas
Biddle Room : DC 02 Left,DisplayCases
Biddle Room : DC 02 Right,DisplayCases
Biddle Room : DC 04,DisplayCases
Biddle Room : DC 05,DisplayCases
Biddle Room : DC 07 Left,DisplayCases
Biddle Room : DC 07 Right,DisplayCases
Biddle Room : DC 20 Left,DisplayCases
Biddle Room : DC 20 Right,DisplayCases
Bostock 2d Floor,Bostock
Bostock 3d Floor,Bostock
Bostock 4th Floor,Bostock
Bostock Lower Level,Bostock
Center table,Exhibits Areas
Cold Storage Left,RL Research Svcs
Cold Storage Right,RL Research Svcs
Cold Storage1 Left,Conservation
Conservation Lab,Conservation
Conservation Lab Benches,Conservation
Conservation Lab Wet Area,Conservation
conservation vault,Conservation
DMLL-down,Other Libraries
DMLL-up,Other Libraries
DPC Camera Room,Conservation
DPC Staff Area,Conservation
DPC Zeutschel Scanner,Conservation
EXP-sealed,Exhibits Areas
EXP-unsealed,Exhibits Areas
LSC Module 1 Return,LSC
LSC Module 2 Return,LSC
LSC Module 3 Return,LSC
LSC Outdoor,LSC
Perkins 1st Floor zone 1,Perkins
Perkins 1st Floor zone 2,Perkins
Perkins 1st Floor zone 3,Perkins
Perkins 1st Floor zone 4,Perkins
Perkins 2d Floor zone 2,Perkins
Perkins 2d Floor zone 3,Perkins
Perkins 2d Floor zone 4,Perkins
Perkins 3d Floor zone 1,Perkins
Perkins 3d Floor zone 2,Perkins
Perkins 3d Floor zone 3,Perkins
Perkins 3d Floor zone 4,Perkins
Perkins 4th Floor zone 1,Perkins
Perkins 4th Floor zone 2,Perkins
Perkins 4th Floor zone 3,Perkins
Perkins 4th Floor zone 4,Perkins
Perkins Lobby,Exhibits Areas
Perkins Lower Level 2 zone 1,Perkins
Perkins Lower Level 2 zone 2,Perkins
Perkins Lower Level 2 zone 3,Perkins
Perkins Lower Level 2 zone 4,Perkins
PhotoGallery1,Exhibits Areas
PhotoGallery2,Exhibits Areas
Reading Room,RL Research Svcs
Reserves Room,RL Research Svcs
RL Stacks 2d Floor,RL Research Svcs
RL Stacks 3d Floor,RL Research Svcs
RL Stacks LL1,RL Research Svcs
RLTS Smith,RL Tech Svcs
RLTS Smith Rm 103,RL Tech Svcs
RLTS Smith Rm 104,RL Tech Svcs
RLTS Smith Rm 131,RL Tech Svcs
RLTS Smith Workroom,RL Tech Svcs
Stone Gallery,Exhibits Areas
Treasure Gallery : DC 10 Left,DisplayCases
Treasure Gallery : DC 10 Right,DisplayCases
Treasure Gallery : DC 21 Central,DisplayCases
Treasure Gallery : DC 21 Corner,DisplayCases
Treasure Gallery : DC 23 Left,DisplayCases
Treasure Gallery : DC 23 Right,DisplayCases
Trent Room,Exhibits Areas
Trent Room : DC 11 Left,DisplayCases
Trent Room : DC 11 Right,DisplayCases
Trent Room : DC 22 Left,DisplayCases
Trent Room : DC 22 Right,DisplayCases
