Name:Suffix,Location,Measurement,AirHandlerUnit
W04T095BA:CTL TEMP,095 Exhibit Prep,"Temp, F",6&7
7704.4095B.RMH,095 Exhibit Prep,"RH, %",6&7
W04T171A:CTL TEMP,171 Reserves Shelving,"Temp, F",6&7
7704.4171.RMH,171 Reserves Shelving,"RH, %",6&7
7704.R4099.RMT,099 Lower Level Stacks,"Temp, F",17
7704.AHU17.RAH,099 Lower Level Stacks,"RH, %",17
7704.R4299.RMT,299 Second Floor Stacks,"Temp, F",9
7704.R4399.RMT,399 Third Floor Stacks,"Temp, F",9
7704.AHU09.RAH,2d and 3d Floor ,"RH, %",9
7704.RHC05.RMT,2-021A Conservation DPC Vault,"Temp, F",11
7705.2021A.RMH,2-021A Conservation DPC Vault,"RH, %",11
W04T2023BC:ROOM TEMP,Conservation Lab Benches,"Temp, F",12
W04T2023CC:ROOM TEMP,Conservation Lab Wet Area,"Temp, F",12
W04T2013C:ROOM TEMP,DPC Staff Area,"Temp, F",12
W04T2017AC:ROOM TEMP,DPC Camera Room,"Temp, F",12
W04T2017BC:ROOM TEMP,DPC Zeutschel Scanner,"Temp, F",12
7704.AHU12.RMH,Conservation Lab,"RH, %",12
7704.R4140A.RTE,140A Biddle Exhibit Entrance,"Temp, F",16
7704.R4140A.RHE,140A Biddle Exhibit Entrance,"RH, %",16
7704.R4140A.RTF,140A Biddle Exhibit Fireplace,"Temp, F",16
7704.R4140A.RHF,140A Biddle Exhibit Fireplace,"RH, %",16
7704.R4140B.RT,140B Stone Exhibit,"Temp, F",16
7704.R4140B.RH,140B Stone Exhibit,"RH, %",16
7704.R4140C.RT,140C Trent Exhibit,"Temp, F",16
7704.R4140C.RH,140C Trent Exhibit,"RH, %",16
E61T11103A:ROOM TEMP,RLTS Smith Rm 103,"Temp, F",NA
E61T11104A:ROOM TEMP,RLTS Smith Rm 104,"Temp, F",NA
E61T11111A:ROOM TEMP,RLTS Smith Workroom,"Temp, F",NA
E61T11117A:ROOM TEMP,RLTS Smith Rm 131,"Temp, F",NA
E61Q13A,RLTS Smith,"RH, %",NA
